ticker,prediction_date,direction,expected_return_pct,timeframe_days,entry_price,target_price,hit_target,days_to_hit,first_hit_date,max_favorable_pct,max_adverse_pct,max_drawdown_pct,final_return_pct,final_date,final_price,success,pred_direction,pred_score,pred_confidence
MSFT,2024-01-15,漲,10,180,383.66,422.03,True,65.0,2024-03-21,20.24,-0.2,-9.33,16.64,2024-07-12,447.5,True,強烈看漲,5,高
GOOGL,2024-01-15,漲,10,180,141.32,155.45,True,86.0,2024-04-11,34.32,-7.78,-14.4,30.03,2024-07-12,183.76,True,強烈看漲,6,高
NVDA,2024-01-15,漲,10,180,56.35,61.98,True,13.0,2024-01-29,140.5,-0.58,-19.79,129.25,2024-07-12,129.18,True,強烈看漲,5,高
META,2024-01-15,漲,10,180,364.6,401.06,True,17.0,2024-02-02,47.23,0.0,-18.43,36.04,2024-07-12,496.0,True,看漲,3,中高
TSLA,2024-01-15,跌,10,180,219.91,197.92,True,9.0,2024-01-25,35.41,-19.71,-35.41,12.88,2024-07-12,248.23,True,看跌,-3,中
JPM,2024-01-15,跌,10,180,160.94,144.84,False,,,0.54,-25.11,-9.57,23.39,2024-07-12,198.57,False,強烈看跌,-4,高
GS,2024-01-15,漲,10,180,362.12,398.33,True,72.0,2024-03-28,27.8,-0.93,-6.75,27.8,2024-07-12,462.78,True,看漲,3,中高
BRK-B,2024-01-15,跌,10,180,361.1,324.99,False,,,0.5,-17.54,-5.66,17.54,2024-07-12,424.44,False,強烈看跌,-4,高
JNJ,2024-01-15,漲,10,180,150.17,165.19,False,,,2.15,-9.33,-11.24,-5.16,2024-07-12,142.43,False,強烈看漲,5,高
UNH,2024-01-15,跌,10,180,495.01,445.51,True,77.0,2024-04-02,15.07,-1.56,-16.37,-0.66,2024-07-12,491.75,True,看跌,-2,中
LLY,2024-01-15,漲,10,180,624.74,687.22,True,20.0,2024-02-05,49.97,-1.77,-8.51,49.97,2024-07-12,936.95,True,看漲,4,中高
GE,2024-01-15,漲,10,180,100.74,110.81,True,28.0,2024-02-13,65.63,-0.85,-7.8,56.23,2024-07-12,157.39,True,看漲,3,中高
AMD,2024-01-15,漲,10,180,158.74,174.61,True,8.0,2024-01-24,33.16,-9.12,-31.75,14.41,2024-07-12,181.61,True,看漲,4,中高
AVGO,2024-01-15,漲,10,180,109.03,119.93,True,8.0,2024-01-24,64.73,-1.01,-14.01,53.67,2024-07-12,167.54,True,看漲,3,中高
QCOM,2024-01-15,漲,10,180,134.5,147.95,True,30.0,2024-02-15,62.4,-1.28,-14.06,44.76,2024-07-12,194.7,True,看漲,4,中高
MU,2024-01-15,漲,10,180,83.97,92.37,True,45.0,2024-03-01,81.54,-6.04,-16.59,58.13,2024-07-12,132.79,True,強烈看漲,8,高
CRM,2024-01-15,漲,10,180,265.96,292.55,True,41.0,2024-02-26,17.72,-18.91,-31.11,-5.38,2024-07-12,251.64,True,看漲,3,中高
NFLX,2024-01-15,漲,10,180,48.12,52.94,True,8.0,2024-01-24,43.51,-0.19,-13.45,34.57,2024-07-12,64.76,True,強烈看漲,6,高
NOW,2024-01-15,漲,10,180,145.51,160.06,True,24.0,2024-02-09,11.74,-11.58,-20.87,4.25,2024-07-12,151.7,True,看漲,4,中高
PANW,2024-01-15,跌,10,180,166.02,149.42,True,36.0,2024-02-21,21.11,-13.51,-30.49,1.34,2024-07-12,168.25,True,看跌,-2,中
AAPL,2024-07-15,漲,8,90,232.6,251.21,False,,,0.18,-11.59,-11.75,-1.21,2024-10-14,229.79,False,看漲,3,中高
MSFT,2024-07-15,漲,8,90,447.9,483.74,False,,,0.0,-12.95,-12.95,-7.5,2024-10-14,414.29,False,強烈看漲,5,高
GOOGL,2024-07-15,漲,8,90,185.21,200.03,False,,,0.0,-20.2,-20.2,-11.45,2024-10-14,164.01,False,強烈看漲,8,高
AMZN,2024-07-15,漲,8,90,192.72,208.14,False,,,0.64,-16.45,-16.58,-2.69,2024-10-14,187.54,False,看漲,4,中高
NVDA,2024-07-15,漲,8,90,128.38,138.65,False,,,4.97,-22.99,-22.99,7.51,2024-10-14,138.02,False,看漲,4,中高
META,2024-07-15,漲,8,90,493.31,532.77,True,31.0,2024-08-15,20.23,-8.62,-8.62,19.11,2024-10-14,587.59,True,看漲,3,中高
TSLA,2024-07-15,跌,8,90,252.64,232.43,True,9.0,2024-07-24,24.1,-3.56,-25.26,-13.25,2024-10-14,219.16,True,看跌,-2,中
JPM,2024-07-15,跌,8,90,203.52,187.24,False,,,7.21,-7.02,-10.13,6.09,2024-10-14,215.91,False,強烈看跌,-7,高
GS,2024-07-15,漲,8,90,474.69,512.66,False,,,5.51,-6.75,-9.82,6.83,2024-10-14,507.1,False,看漲,3,中高
BRK-B,2024-07-15,跌,8,90,434.42,399.67,False,,,4.76,-10.16,-7.16,5.88,2024-10-14,459.98,False,看跌,-3,中
JNJ,2024-07-15,漲,8,90,141.82,153.16,True,15.0,2024-07-30,13.01,0.0,-4.69,9.1,2024-10-14,154.73,True,強烈看漲,6,高
PFE,2024-07-15,漲,8,90,25.92,27.99,True,15.0,2024-07-30,9.39,-1.38,-9.84,1.34,2024-10-14,26.26,True,看漲,3,中高
LLY,2024-07-15,漲,8,90,938.98,1014.1,False,,,1.15,-18.76,-18.76,-2.07,2024-10-14,919.57,False,強烈看漲,5,高
MCD,2024-07-15,跌,8,90,241.56,222.24,False,,,0.03,-21.98,-3.66,23.9,2024-10-14,299.3,False,看跌,-3,中
AMD,2024-07-15,漲,8,90,179.83,194.22,False,,,0.0,-28.45,-28.45,-8.1,2024-10-14,165.27,False,看漲,3,中高
AVGO,2024-07-15,漲,8,90,168.88,182.39,True,86.0,2024-10-09,8.83,-20.51,-20.51,6.7,2024-10-14,180.19,True,強烈看漲,5,高
QCOM,2024-07-15,漲,8,90,200.24,216.25,False,,,0.7,-25.01,-25.53,-14.04,2024-10-14,172.13,False,看漲,3,中高
MU,2024-07-15,漲,8,90,130.13,140.54,False,,,0.0,-34.08,-34.08,-17.12,2024-10-14,107.85,False,強烈看漲,8,高
CRM,2024-07-15,漲,8,90,250.54,270.58,True,72.0,2024-09-25,15.49,-5.71,-9.25,15.52,2024-10-14,289.42,True,看漲,3,中高
NFLX,2024-07-15,漲,8,90,65.64,70.9,True,71.0,2024-09-24,11.25,-8.82,-8.82,8.61,2024-10-14,71.3,True,強烈看漲,5,高
ADBE,2024-07-15,漲,8,90,565.71,610.97,False,,,3.68,-13.86,-16.92,-9.91,2024-10-14,509.65,False,看漲,4,中高
NOW,2024-07-15,漲,8,90,153.57,165.86,True,31.0,2024-08-15,23.02,-4.82,-7.49,23.03,2024-10-14,188.94,True,看漲,4,中高
AAPL,2024-10-15,漲,8,90,232.32,250.91,True,63.0,2024-12-17,10.89,-5.06,-9.94,-0.13,2025-01-14,232.01,True,看漲,4,中高
MSFT,2024-10-15,漲,8,90,413.9,447.01,True,62.0,2024-12-16,8.75,-2.96,-8.54,-0.53,2025-01-14,411.69,True,強烈看漲,5,高
GOOGL,2024-10-15,漲,8,90,164.51,177.67,True,23.0,2024-11-07,19.12,-1.66,-9.28,14.76,2025-01-14,188.79,True,強烈看漲,8,高
AMZN,2024-10-15,漲,8,90,187.69,202.71,True,22.0,2024-11-06,24.1,-1.59,-7.93,16.02,2025-01-14,217.76,True,看漲,4,中高
NVDA,2024-10-15,漲,8,90,131.55,142.07,True,6.0,2024-10-21,13.56,-2.04,-13.41,0.13,2025-01-14,131.72,True,看漲,3,中高
META,2024-10-15,漲,8,90,583.46,630.13,False,,,7.92,-5.49,-7.42,1.44,2025-01-14,591.88,False,強烈看漲,5,高
TSLA,2024-10-15,跌,8,90,219.57,202.0,False,,,2.7,-118.55,-20.96,80.52,2025-01-14,396.36,False,看跌,-3,中
JPM,2024-10-15,跌,8,90,216.8,199.46,False,,,1.17,-12.55,-7.96,11.85,2025-01-14,242.5,False,強烈看跌,-7,高
BRK-B,2024-10-15,跌,8,90,462.68,425.67,False,,,4.41,-4.41,-8.37,-2.73,2025-01-14,450.03,False,強烈看跌,-5,高
JNJ,2024-10-15,漲,8,90,157.12,169.69,False,,,1.07,-12.74,-13.66,-11.08,2025-01-14,139.71,False,強烈看漲,6,高
UNH,2024-10-15,跌,8,90,536.67,493.74,True,62.0,2024-12-16,12.39,-12.4,-22.05,-1.88,2025-01-14,526.58,True,看跌,-2,中
PFE,2024-10-15,漲,8,90,26.59,28.72,False,,,0.78,-14.45,-15.12,-8.9,2025-01-14,24.22,False,看漲,3,中高
LLY,2024-10-15,漲,8,90,903.55,975.84,False,,,0.51,-20.25,-20.65,-18.3,2025-01-14,738.16,False,強烈看漲,6,高
CAT,2024-10-15,漲,8,90,379.96,410.36,False,,,7.83,-9.21,-15.8,-3.89,2025-01-14,365.19,False,看漲,3,中高
AMD,2024-10-15,漲,8,90,156.64,169.17,False,,,6.14,-25.92,-30.2,-25.89,2025-01-14,116.09,False,看漲,4,中高
AVGO,2024-10-15,漲,8,90,173.94,187.85,True,59.0,2024-12-13,42.06,-9.27,-13.13,28.03,2025-01-14,222.69,True,強烈看漲,5,高
QCOM,2024-10-15,漲,8,90,168.31,181.78,False,,,1.1,-13.16,-14.1,-7.88,2025-01-14,155.04,False,看漲,4,中高
MU,2024-10-15,漲,8,90,103.84,112.15,True,23.0,2024-11-07,8.71,-19.22,-25.69,-6.55,2025-01-14,97.04,True,強烈看漲,8,高
CRM,2024-10-15,漲,8,90,286.15,309.05,True,24.0,2024-11-08,27.58,-1.36,-13.5,12.33,2025-01-14,321.44,True,看漲,3,中高
NFLX,2024-10-15,漲,8,90,70.6,76.25,True,3.0,2024-10-18,32.66,-2.6,-11.55,17.34,2025-01-14,82.84,True,強烈看漲,6,高
ADBE,2024-10-15,漲,8,90,508.03,548.67,True,52.0,2024-12-06,8.84,-20.1,-26.59,-18.76,2025-01-14,412.71,True,看漲,4,中高
NOW,2024-10-15,漲,8,90,185.59,200.44,True,23.0,2024-11-07,23.76,-2.19,-11.55,11.14,2025-01-14,206.26,True,看漲,4,中高
