Ticker,Name,Sector,Price,MarketCap_B,PE,Forward_PE,PB,ROE_%,D/E,DebtRatio_%,PEG,EV/EBITDA,DivYield_%,FCF_B,RevGrowth_%,6M_Chg_%,RSI,Beta
AAPL,Apple Inc.,Technology,248.8,3656.8,31.5,26.7,41.5,152.0,102.6,,,24.0,42.0,106.31,15.7,-2.0,32.1,1.12
ABBV,AbbVie Inc.,Healthcare,209.4,370.4,88.4,13.0,-113.2,6225.0,,,,14.8,330.0,18.34,10.0,-4.7,24.4,0.33
AMD,"Advanced Micro Devices, Inc.",Technology,201.99,329.3,77.4,18.8,5.2,7.1,6.4,,,47.9,,4.59,34.1,25.2,49.5,2.02
AMZN,"Amazon.com, Inc.",Consumer Cyclical,199.34,2139.9,27.8,21.2,5.2,22.3,43.4,,,15.1,,23.79,13.6,-10.3,35.7,1.42
ANET,"Arista Networks, Inc.",Technology,120.77,152.1,43.9,28.3,12.3,31.4,0.7,,,35.9,,3.39,28.9,-15.8,33.3,1.46
ARM,Arm Holdings plc,Technology,144.13,153.1,192.2,67.4,19.6,11.3,5.9,,,138.4,,0.82,26.3,3.1,69.7,4.13
AVGO,Broadcom Inc.,Technology,300.68,1425.6,58.5,16.9,5.1,33.4,166.0,,,4.1,86.0,25.5,16.4,-8.1,23.0,1.26
AXON,"Axon Enterprise, Inc.",Industrials,429.94,34.6,286.6,40.7,10.6,4.5,59.1,,,647.9,,0.23,38.5,-40.0,17.0,1.52
BAC,Bank of America Corporation,Financial Services,46.97,337.1,12.3,9.5,1.2,10.2,,,,,238.0,,7.2,-9.4,43.6,1.26
BRK-B,Berkshire Hathaway Inc. New,Financial Services,468.49,1010.5,15.1,21.5,0.0,9.8,18.8,,,-2.1,,36.8,-0.7,-6.2,7.5,0.69
CAT,"Caterpillar, Inc.",Industrials,695.4,325.4,37.0,25.1,15.2,43.5,206.7,,,25.7,87.0,5.84,18.0,48.2,46.2,1.53
CMCSA,Comcast Corporation,Communication Services,28.33,103.2,5.3,7.3,1.1,21.4,107.9,,,5.4,466.0,5.59,1.2,-1.9,19.6,0.78
COST,Costco Wholesale Corporation,Consumer Defensive,983.86,436.7,51.3,43.8,13.6,29.7,26.0,,,31.7,53.0,6.69,9.2,7.6,38.1,0.99
CPRT,"Copart, Inc.",Industrials,32.43,31.4,20.4,19.3,3.2,17.1,1.0,,,13.5,,1.04,-3.6,-27.3,17.6,1.11
CRM,"Salesforce, Inc.",Technology,179.31,168.0,23.0,12.0,2.8,12.4,29.9,,,13.8,98.0,16.37,12.1,-26.7,30.6,1.31
CRWD,"CrowdStrike Holdings, Inc.",Technology,369.58,93.7,59.8,59.8,21.1,-4.1,18.3,,,-1915.1,,1.6,23.3,-24.3,24.6,1.12
CSCO,"Cisco Systems, Inc.",Technology,79.92,315.8,28.7,17.7,6.6,23.8,66.5,,,20.4,210.0,10.13,9.7,19.4,63.3,0.83
CVX,Chevron Corporation,Energy,211.15,422.2,31.8,21.2,2.2,7.2,24.3,,,12.4,337.0,13.2,-8.2,38.1,84.4,0.66
DDOG,"Datadog, Inc.",Technology,114.48,40.5,369.3,43.3,10.8,3.3,34.3,,,4936.5,,0.88,29.2,-21.2,35.4,1.36
DECK,Deckers Outdoor Corporation,Consumer Cyclical,94.05,13.7,13.4,12.8,5.1,39.7,13.1,,,8.5,,0.76,7.1,-8.9,30.0,1.16
DUK,Duke Energy Corporation (Holdin,Utilities,129.99,101.2,20.6,18.2,2.0,9.7,171.8,,,11.9,328.0,-2.0,8.0,7.7,46.4,0.47
ENTG,"Entegris, Inc.",Technology,113.59,17.3,73.8,25.9,4.4,6.2,96.4,,,23.7,35.0,0.32,-3.0,21.7,44.9,1.29
FI,FI,N/A,,,,,,,,,,,,,,,,
FICO,Fair Isaac Corporation,Technology,1011.06,24.0,37.4,19.0,-13.3,,,,,26.9,,0.57,16.4,-33.7,22.3,1.28
GOOGL,Alphabet Inc.,Communication Services,274.34,3318.7,25.4,20.4,8.0,35.7,16.1,,,21.7,31.0,38.09,18.0,12.6,22.0,1.11
HD,"Home Depot, Inc. (The)",Consumer Cyclical,321.65,320.4,22.6,19.7,25.0,145.5,514.4,,,15.4,290.0,8.62,-3.8,-19.9,28.1,1.04
HUBS,"HubSpot, Inc.",Technology,230.79,12.2,271.5,15.1,5.9,2.3,12.7,,,348.3,,0.65,20.4,-55.6,19.9,1.45
IBM,International Business Machines,Technology,236.34,221.8,21.2,17.6,6.8,35.2,197.3,,,16.9,284.0,13.16,12.2,-14.6,33.7,0.71
ISRG,"Intuitive Surgical, Inc.",Healthcare,452.66,160.8,57.4,39.6,9.0,16.7,1.0,,,43.6,,2.27,18.8,3.1,25.1,1.68
JNJ,Johnson & Johnson,Healthcare,240.45,579.5,21.8,19.1,7.1,35.0,60.5,,,18.0,216.0,16.63,9.1,33.9,44.7,0.33
JPM,JP Morgan Chase & Co.,Financial Services,282.84,762.8,14.1,12.1,2.2,16.1,,,,,212.0,,2.5,-9.6,39.9,1.06
